1.4,1.64429,-12.5
1.5,1.64299,-13.6
1.6,1.64157,-14.8
1.7,1.64003,-16
1.8,1.63837,-17.1
1.9,1.6366,-18.3
2,1.63472,-19.3
2.1,1.63274,-20.3
2.2,1.63067,-21.1
2.3,1.62852,-21.9
2.4,1.62629,-22.6
2.5,1.624,-23.2
2.6,1.62166,-23.6
2.7,1.61928,-24
2.8,1.61687,-24.2
2.9,1.61445,-24.4
3,1.612,-24.7
3.1,1.60951,-25.1
3.2,1.60697,-25.6
3.3,1.60438,-26.2
3.4,1.60173,-26.8
3.5,1.59902,-27.4
3.6,1.59626,-27.9
3.7,1.59344,-28.4
3.8,1.59057,-29
3.9,1.58764,-29.6
4,1.58465,-30.2
4.2,1.57848,-31.6
4.4,1.57202,-32.9
4.6,1.56533,-34
4.8,1.55845,-34.7
5,1.55145,-35.2
5.2,1.54436,-35.6
5.4,1.53721,-35.9
5.6,1.53,-36.2
5.8,1.52273,-36.5
6,1.51541,-36.7
6.5,1.49698,-36.9
7,1.47868,-36.2
7.5,1.46086,-35
8,1.44374,-33.4
8.5,1.42747,-31.7
9,1.41207,-29.9
9.5,1.39751,-28.3
10,1.38373,-26.8
10.5,1.37065,-25.5
11,1.3582,-24.3
11.5,1.34632,-23.2
12,1.33499,-22.1
12.5,1.32416,-21.2
13,1.31381,-20.3
13.5,1.3039,-19.4
14,1.29439,-18.6
14.5,1.28526,-17.9
15,1.27645,-17.3
15.5,1.26794,-16.8
16,1.25967,-16.3
16.5,1.25161,-15.9
17,1.24372,-15.6
17.5,1.23596,-15.4
18,1.2283,-15.3
18.5,1.2207,-15.2
19,1.21311,-15.2
19.5,1.20548,-15.3
20,1.197748,-15.6
21,1.181548,-17
22,1.162797,-21.1
23,1.140817,-20.8
24,1.125923,-9.42
25,1.119448,-4.6
26,1.115658,-3.19
27,1.11281,-2.58
28,1.110421,-2.25
29,1.108261,-2.08
30,1.106244,-1.96
31,1.104324,-1.88
32,1.102476,-1.82
33,1.100681,-1.77
34,1.09893,-1.73
35,1.097216,-1.7
36,1.095534,-1.69
37,1.093878,-1.64
38,1.092244,-1.62
39,1.090627,-1.61
40,1.089024,-1.6
42,1.085842,-1.59
44,1.082669,-1.59
46,1.079492,-1.59
48,1.076303,-1.6
50,1.073099,-1.61
52,1.069881,-1.61
54,1.06665,-1.62
56,1.063403,-1.63
58,1.060141,-1.64
60,1.056862,-1.64
65,1.048584,-1.67
70,1.040183,-1.69
75,1.031651,-1.72
77.35,1.027594,-1.73
80,1.022984,-1.75
85,1.014181,-1.77
90,1.005244,-1.8
100,0.986974,-1.85
110,0.968209,-1.9
120,0.949,-1.94
130,0.92939,-1.98
140,0.909416,-2.01
150,0.889114,-2.05
160,0.868518,-2.07
170,0.847659,-2.1
180,0.82656,-2.12
190,0.805242,-2.14
200,0.78372,-2.16
210,0.762007,-2.18
220,0.740115,-2.2
230,0.718054,-2.21
240,0.695834,-2.23
250,0.673462,-2.24
260,0.650949,-2.26
270,0.628302,-2.27
273,0.621141,-2.28
280,0.605528,-2.28
290,0.582637,-2.29
300,0.559639,-2.3
310,0.536542,-2.31
320,0.513361,-2.32
330,0.490106,-2.33
340,0.46676,-2.34
350,0.443371,-2.34
360,0.41996,-2.34
370,0.396503,-2.35
380,0.373002,-2.35
390,0.349453,-2.36
400,0.325839,-2.36
410,0.302161,-2.37
420,0.278416,-2.38
430,0.254592,-2.39
440,0.230697,-2.39
450,0.206758,-2.39
460,0.182832,-2.39
470,0.15901,-2.37
480,0.13548,-2.33
490,0.112553,-2.25
500,0.090681,-2.12
